"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","810","Successful Order Message","","Tue Feb 04 00:34:48 GMT+06:00 2025","passed","Tue Feb 04 00:34:49 GMT+06:00 2025","","Logint with standard_user login","",""
"","1467","Verify the error message","","Tue Feb 04 00:34:27 GMT+06:00 2025","passed","Tue Feb 04 00:34:29 GMT+06:00 2025","","Login test with locked_out_user","",""
"","377","Add To Card","","Tue Feb 04 00:34:45 GMT+06:00 2025","passed","Tue Feb 04 00:34:45 GMT+06:00 2025","","Logint with standard_user login","",""
"","812","Get Products Name and Price List","","Tue Feb 04 00:34:44 GMT+06:00 2025","passed","Tue Feb 04 00:34:45 GMT+06:00 2025","","Logint with standard_user login","",""
"","348","Log Out","","Tue Feb 04 00:34:49 GMT+06:00 2025","passed","Tue Feb 04 00:34:49 GMT+06:00 2025","","Logint with standard_user login","",""
"","344","verify Card Products Name And Price","","Tue Feb 04 00:34:48 GMT+06:00 2025","passed","Tue Feb 04 00:34:48 GMT+06:00 2025","","Logint with standard_user login","",""
"","415","hamburger menu to Reset App State","","Tue Feb 04 00:34:49 GMT+06:00 2025","passed","Tue Feb 04 00:34:49 GMT+06:00 2025","","Logint with standard_user login","",""
"","7655","locked_out_user login","","Tue Feb 04 00:34:20 GMT+06:00 2025","passed","Tue Feb 04 00:34:27 GMT+06:00 2025","","Login test with locked_out_user","",""
"","2319","Check Out Card","","Tue Feb 04 00:34:45 GMT+06:00 2025","passed","Tue Feb 04 00:34:48 GMT+06:00 2025","","Logint with standard_user login","",""
"","6490","Filter By Name","","Tue Feb 04 00:34:38 GMT+06:00 2025","passed","Tue Feb 04 00:34:44 GMT+06:00 2025","","Logint with standard_user login","",""
"","13184","standard_user login","","Tue Feb 04 00:34:20 GMT+06:00 2025","passed","Tue Feb 04 00:34:33 GMT+06:00 2025","","Logint with standard_user login","",""
